Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
Australia,123518,30,Senior,7,Remote,Telecomm  Services,100 - 499,Medium,Employed,Developer,Masters,35-44
Malaysia,12123,5,Mid,9,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Colombia,32445,8,Mid,8,Remote,Supply Chain,1000 - 4999,Medium,Employed,Developer,Professional,35-44
United States of America,120000,23,Senior,3,Hybrid-InPerson,Government,10000+,Large,Employed,Developer,Bachelors,25-34 
Germany,98612,20,Senior,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Architect,Masters,25-34 
India,11391,10,Mid,3,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Bulgaria,88960,15,Mid,2,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,35-44
Canada,58367,30,Senior,1,Hybrid-InPerson,Government,10000+,Large,Employed,Developer,Bachelors,45-54 
Canada,80254,12,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Brazil,46419,12,Mid,8,Remote,Software Development,10000+,Large,Employed,Data/AI,Masters,25-34 
Slovakia,46406,41,Senior,7,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Germany,34804,23,Senior,4,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Professional,45-54 
Austria,104413,20,Senior,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Architect,Professional,45-54 
Nigeria,7748,15,Mid,9,Flexible,Software Development,<20,Small,Self-employed,Developer,Bachelors,35-44
Australia,299043,30,Senior,8,Flexible,Software Development,500 - 999,Medium,Employed,Manager,Bachelors,35-44
Canada,113085,39,Senior,9,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,55-64
Argentina,1300,12,Mid,9,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Some college,25-34 
Colombia,52348,38,Senior,8,Remote,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,55-64
Germany,139218,38,Senior,10,Flexible,Banking Services,1000 - 4999,Medium,Employed,Developer,Professional,45-54 
Portugal,69609,28,Senior,8,Remote,Software Development,<20,Small,Employed,Developer,Some college,35-44
Israel,173544,30,Senior,8,Flexible,Software Development,100 - 499,Medium,Employed,Data/AI,Masters,45-54 
Australia,87763,5,Mid,6,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,215000,45,Senior,8,In-person,Manufacturing,10000+,Large,Employed,Other,Bachelors,45-54 
France,522066,9,Mid,5,Flexible,Telecomm  Services,20 - 99 ,Small,Employed,Data/AI,Masters,25-34 
France,73669,30,Senior,4,Hybrid-InPerson,Software Development,<20,Small,Employed,Manager,Professional,45-54 
Czech Republic,38381,8,Mid,7,Hybrid-InPerson,Other,100 - 499,Medium,Employed,Developer,Masters,25-34 
Italy,98612,45,Senior,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Architect,Professional,45-54 
Ukraine,11504,6,Mid,4,Hybrid-Flexible,Retail Services,<20,Small,Employed,Developer,Bachelors,25-34 
Honduras,70000,11,Mid,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Cyprus,139218,11,Mid,10,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United States of America,130000,15,Mid,10,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Germany,69609,15,Mid,7,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,81685,25,Senior,6,Hybrid-Flexible,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Masters,35-44
India,16274,6,Mid,9,Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Germany,116015,11,Mid,8,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Masters,25-34 
Ireland,122976,37,Senior,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Brazil,136528,40,Senior,10,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Masters,55-64
United States of America,1600,11,Mid,6,Hybrid-InPerson,Higher Education,I don’t know,Unknown,Self-employed,Research,Bachelors,18-24
Pakistan,3160,4,Mid,7,Remote,Software Development,1,Small,Self-employed,Student,Secondary school ,18-24
Belarus,44029,20,Senior,9,Flexible,Media Services,500 - 999,Medium,Employed,Developer,Masters,35-44
Bangladesh,2,16,Senior,8,Hybrid-InPerson,Fintech,<20,Small,Employed,Manager,Bachelors,35-44
Nepal,2182,3,Mid,5,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Republic of Korea,60000,12,Mid,4,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,25-34 
Italy,36197,21,Senior,6,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Architect,Bachelors,45-54 
Republic of North Macedonia,2494,10,Mid,7,Flexible,Banking Services,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,100000,46,Senior,8,Remote,Other,500 - 999,Medium,Employed,Developer,Masters,65+
United Kingdom of Great Britain and Northern Ireland,61264,12,Mid,7,Hybrid-Flexible,Higher Education,10000+,Large,Employed,Research,Professional,35-44
Pakistan,351,15,Mid,8,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Masters,35-44
Colombia,29362,12,Mid,8,Hybrid-Flexible,Software Development,500 - 999,Medium,Employed,Developer,Some college,35-44
China,83571,9,Mid,4,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Israel,117657,9,Mid,6,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Nigeria,9685,9,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
South Africa,56379,28,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Some college,45-54 
Belgium,87011,35,Senior,9,In-person,Higher Education,10000+,Large,Employed,Other,Bachelors,45-54 
Italy,34804,15,Mid,5,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Data/AI,Masters,25-34 
United States of America,180000,30,Senior,8,Remote,Government,10000+,Large,Employed,Developer,Bachelors,45-54 
Serbia,23759,34,Senior,7,Flexible,Software Development,1,Small,Self-employed,Developer,Associate,45-54 
United States of America,580000,35,Senior,4,Flexible,Software Development,5000 - 9999,Large,Employed,Architect,Professional,35-44
United States of America,200000,14,Mid,8,Remote,Manufacturing,10000+,Large,Employed,Data/AI,Masters,25-34 
Colombia,36703,15,Mid,9,Hybrid-InPerson,Media Services,20 - 99 ,Small,Employed,Architect,Associate,35-44
Pakistan,14327,4,Mid,5,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Sweden,115304,41,Senior,6,Remote,Fintech,<20,Small,Self-employed,Developer,Masters,55-64
Georgia,59722,24,Senior,8,In-person,Telecomm  Services,10000+,Large,Employed,Developer,Masters,35-44
Hungary,98316,20,Senior,9,Hybrid-Flexible,Retail Services,500 - 999,Medium,Employed,Architect,Associate,25-34 
Romania,82709,12,Mid,8,Flexible,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Canada,109438,13,Mid,4,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,155,22,Senior,9,Remote,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Germany,12762,5,Mid,6,Remote,Higher Education,<20,Small,Student,Developer,Some college,18-24
Ukraine,7190,7,Mid,6,Flexible,Software Development,10000+,Large,Employed,Developer,Masters,18-24
Ukraine,839,10,Mid,8,Flexible,Software Development,500 - 999,Medium,Employed,Data/AI,Bachelors,25-34 
Brazil,67354,17,Senior,7,Remote,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Canada,72958,38,Senior,9,Hybrid-InPerson,Computer System Services,<20,Small,Employed,Developer,Some college,45-54 
France,40605,8,Mid,9,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Research,Masters,25-34 
United States of America,240000,5,Mid,2,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
Germany,139218,25,Senior,8,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Germany,139218,21,Senior,0,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Pakistan,1580,3,Mid,3,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,18-24
South Africa,56379,23,Senior,8,In-person,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
Kenya,69659,12,Mid,6,Remote,Software Development,10000+,Large,Self-employed,Developer,Bachelors,35-44
Chile,55401,8,Mid,6,Remote,Other,10000+,Large,Employed,Data/AI,Masters,25-34 
Latvia,46406,12,Mid,8,Flexible,Retail Services,10000+,Large,Employed,Developer,Some college,25-34 
Germany,116015,26,Senior,7,Flexible,Other,10000+,Large,Employed,Architect,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,56226,18,Senior,5,In-person,Higher Education,20 - 99 ,Small,Employed,Research,Professional,35-44
Sweden,84,30,Senior,5,Hybrid-Flexible,Supply Chain,100 - 499,Medium,Employed,Developer,Masters,35-44
Netherlands,46406,8,Mid,8,Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
United Kingdom of Great Britain and Northern Ireland,43565,5,Mid,7,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Some college,18-24
Isle of Man,114359,15,Mid,8,Hybrid-InPerson,Banking Services,100 - 499,Medium,Employed,Architect,Masters,25-34 
United States of America,110000,6,Mid,10,Remote,Software Development,5000 - 9999,Large,Employed,Data/AI,Bachelors,25-34 
Indonesia,7967,5,Mid,7,In-person,Retail Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Germany,139218,37,Senior,7,Hybrid-Flexible,Retail Services,10000+,Large,Employed,Manager,Bachelors,45-54 
United States of America,135000,30,Senior,8,Remote,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,55-64
United States of America,42000,15,Mid,5,Flexible,Software Development,<20,Small,Self-employed,Developer,Some college,35-44
Germany,97892,12,Mid,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Bolivia,22830,35,Senior,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,45-54 
"Iran, Islamic Republic of...",427,6,Mid,0,Hybrid-InPerson,Software Development,20 - 99 ,Small,Not employed,Developer,Bachelors,18-24
United States of America,95000,3,Mid,7,Hybrid-InPerson,Computer System Services,100 - 499,Medium,Employed,Data/AI,Masters,35-44
United States of America,164000,7,Mid,8,In-person,Healthcare,10000+,Large,Employed,Developer,Bachelors,18-24
India,5812,3,Mid,7,In-person,Computer System Services,100 - 499,Medium,Not employed,Developer,Bachelors,18-24
Hungary,31808,37,Senior,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
Czech Republic,39785,13,Mid,8,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Canada,145000,15,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United States of America,192000,25,Senior,9,Remote,Media Services,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Germany,77730,20,Senior,7,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
Austria,46406,24,Senior,6,Hybrid-Flexible,Media Services,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,200000,24,Senior,2,Hybrid-Flexible,Healthcare,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,47650,5,Mid,6,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,144000,20,Senior,3,Remote,Healthcare,10000+,Large,Employed,Developer,Bachelors,45-54 
Iceland,99992,12,Mid,6,In-person,Software Development,100 - 499,Medium,Employed,Data/AI,Masters,25-34 
Slovakia,55687,6,Mid,9,Remote,Fintech,<20,Small,Self-employed,Developer,Some college,25-34 
Ukraine,47932,22,Senior,10,Remote,Software Development,I don’t know,Unknown,Employed,Data/AI,Masters,35-44
Brazil,29568,10,Mid,8,Remote,Retail Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Croatia,97452,13,Mid,6,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United States of America,198000,30,Senior,9,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,55-64
United States of America,100000,30,Senior,9,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,45-54 
France,111374,30,Senior,8,In-person,Retail Services,20 - 99 ,Small,Self-employed,Developer,Masters,35-44
Greece,19722,4,Mid,10,Remote,Software Development,100 - 499,Medium,Employed,Developer,Secondary school ,35-44
Canada,55448,10,Mid,6,In-person,Software Development,<20,Small,Employed,Data/AI,Masters,25-34 
United States of America,80000,9,Mid,5,Remote,Banking Services,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,200000,26,Senior,10,Remote,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Germany,116015,35,Senior,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Professional,55-64
India,6974,5,Mid,4,Hybrid-InPerson,Software Development,500 - 999,Medium,Employed,Developer,Masters,18-24
Lithuania,69609,20,Senior,8,Flexible,Other,100 - 499,Medium,Employed,Developer,Masters,35-44
India,48821,29,Senior,6,Hybrid-Flexible,Manufacturing,10000+,Large,Employed,Architect,Bachelors,45-54 
Brazil,13107,5,Mid,8,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Denmark,155521,20,Senior,2,Hybrid-InPerson,Fintech,100 - 499,Medium,Employed,Developer,Some college,25-34 
Germany,81210,28,Senior,10,Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Taiwan,4,7,Mid,7,In-person,Telecomm  Services,10000+,Large,Employed,Architect,Professional,25-34 
Chile,27992,10,Mid,6,Flexible,Insurance,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
Portugal,29004,40,Senior,7,Flexible,Software Development,1,Small,Self-employed,Developer,Masters,55-64
United States of America,151000,12,Mid,7,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Developer,Some college,25-34 
Austria,55687,10,Mid,4,Hybrid-Flexible,Telecomm  Services,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Denmark,106376,12,Mid,7,Hybrid-InPerson,Supply Chain,10000+,Large,Employed,Data/AI,Masters,35-44
United States of America,385000,20,Senior,8,In-person,Other,10000+,Large,Employed,Developer,Masters,35-44
Belize,102121,13,Mid,7,Remote,Software Development,1000 - 4999,Medium,Student,Developer,Associate,18-24
United States of America,135000,20,Senior,7,Remote,Manufacturing,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United Republic of Tanzania,5014,12,Mid,7,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Australia,227533,9,Mid,7,In-person,Fintech,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Australia,97514,29,Senior,6,Hybrid-InPerson,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Mexico,28741,14,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Australia,120267,20,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Canada,94846,15,Mid,7,In-person,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,160000,37,Senior,6,Remote,Retail Services,5000 - 9999,Large,Employed,Developer,Professional,65+
Canada,76606,35,Senior,8,Hybrid-InPerson,Higher Education,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
Italy,36197,8,Mid,5,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
India,34872,12,Mid,6,Hybrid-Flexible,Supply Chain,1000 - 4999,Medium,Employed,Data/AI,Bachelors,35-44
Estonia,40605,35,Senior,6,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,45-54 
Argentina,76775,30,Senior,6,Flexible,Fintech,500 - 999,Medium,Employed,Developer,Masters,45-54 
United States of America,340000,13,Mid,10,Hybrid-InPerson,Telecomm  Services,10000+,Large,Employed,Developer,Masters,35-44
Canada,72958,8,Mid,4,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Portugal,27844,15,Mid,8,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
United States of America,195000,30,Senior,8,Remote,Software Development,100 - 499,Medium,Employed,UI/UX professional,Masters,35-44
India,9299,7,Mid,9,In-person,Other,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
India,10462,6,Mid,6,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Romania,81210,15,Mid,10,Hybrid-Flexible,Banking Services,10000+,Large,Employed,Developer,Bachelors,25-34 
France,77730,8,Mid,8,Remote,Other,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Pakistan,7374,10,Mid,8,In-person,Government,10000+,Large,Employed,Developer,Bachelors,25-34 
India,1511,3,Mid,7,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,18-24
Israel,139054,12,Mid,8,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Poland,46,35,Senior,9,Flexible,Other,10000+,Large,Employed,Developer,Masters,45-54 
Australia,130019,40,Senior,8,Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,55-64
United States of America,30000,19,Senior,7,Hybrid-InPerson,Software Development,10000+,Large,Student,Research,Masters,25-34 
Sweden,104822,40,Senior,9,Remote,Telecomm  Services,5000 - 9999,Large,Employed,Architect,Bachelors,45-54 
Turkey,25000,20,Senior,7,Remote,Software Development,<20,Small,Self-employed,Developer,Some college,35-44
France,55687,10,Mid,8,Flexible,Computer System Services,20 - 99 ,Small,Employed,Data/AI,Masters,25-34 
Cyprus,150819,10,Mid,5,In-person,Fintech,1000 - 4999,Medium,Employed,Developer,Masters,35-44
Netherlands,69609,42,Senior,9,Hybrid-InPerson,Telecomm  Services,20 - 99 ,Small,Employed,Architect,Some college,55-64
Italy,60328,45,Senior,5,Hybrid-InPerson,Fintech,100 - 499,Medium,Employed,Architect,Masters,55-64
China,29250,8,Mid,8,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Some college,25-34 
Turkey,14000,7,Mid,5,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Egypt,4993,15,Mid,6,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
India,1162,8,Mid,8,Flexible,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,18-24
Saudi Arabia,140753,20,Senior,9,In-person,Software Development,20 - 99 ,Small,Employed,Architect,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,81685,40,Senior,7,Remote,Other,<20,Small,Employed,Manager,Some college,45-54 
Portugal,163833,25,Senior,8,Remote,Software Development,1000 - 4999,Medium,Self-employed,Developer,Some college,35-44
Poland,140543,18,Senior,8,Remote,Other,20 - 99 ,Small,Self-employed,Developer,Bachelors,35-44
Czech Republic,43248,16,Senior,6,Hybrid-InPerson,Other,100 - 499,Medium,Employed,Developer,Masters,35-44
Italy,41765,17,Senior,6,Hybrid-InPerson,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Netherlands,457710,24,Senior,8,Hybrid-Flexible,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
Germany,97452,23,Senior,7,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Singapore,7030,5,Mid,2,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
France,40605,9,Mid,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Kenya,6502,8,Mid,2,In-person,Telecomm  Services,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,386000,29,Senior,10,Hybrid-InPerson,Banking Services,10000+,Large,Employed,Architect,Masters,45-54 
Morocco,18469,7,Mid,8,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Masters,18-24
Spain,145018,25,Senior,6,Remote,Banking Services,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
Sweden,83857,35,Senior,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Architect,Secondary school ,45-54 
Israel,73536,15,Mid,8,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
India,2092,5,Mid,8,In-person,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,204212,35,Senior,8,Remote,Healthcare,500 - 999,Medium,Employed,Manager,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,74878,16,Senior,8,Hybrid-Flexible,Higher Education,10000+,Large,Employed,Other,Professional,35-44
Egypt,11983,9,Mid,9,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Poland,60584,17,Senior,8,Flexible,Other,5000 - 9999,Large,Employed,Developer,Masters,35-44
Netherlands,67289,16,Senior,7,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Data/AI,Masters,25-34 
Austria,100933,5,Mid,8,Flexible,Other,500 - 999,Medium,Employed,Data/AI,Other,45-54 
Australia,154072,25,Senior,7,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
Poland,49122,5,Mid,7,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Sweden,54507,12,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
India,43009,12,Mid,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,44927,5,Mid,8,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
India,13949,5,Mid,7,In-person,Software Development,500 - 999,Medium,Employed,Developer,Masters,25-34 
United States of America,390000,13,Mid,10,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Other,Secondary school ,18-24
Italy,29004,40,Senior,3,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,45-54 
Pakistan,24000,8,Mid,6,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Australia,118967,19,Senior,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Germany,72509,10,Mid,1,Flexible,Retail Services,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
Australia,195028,25,Senior,7,Remote,Software Development,10000+,Large,Employed,Architect,Masters,35-44
Kazakhstan,60238,26,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
Norway,88945,25,Senior,7,Hybrid-InPerson,Supply Chain,500 - 999,Medium,Employed,Data/AI,Masters,35-44
Australia,97514,7,Mid,9,Flexible,Software Development,1000 - 4999,Medium,Employed,Data/AI,Bachelors,35-44
France,46058,13,Mid,6,Hybrid-Flexible,Fintech,500 - 999,Medium,Employed,Developer,Masters,25-34 
India,46496,12,Mid,6,In-person,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Austria,75410,16,Senior,6,Hybrid-InPerson,Retail Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,183791,39,Senior,9,Hybrid-Flexible,Fintech,<20,Small,Employed,Senior executive,Masters,45-54 
Argentina,12796,25,Senior,10,Remote,Software Development,1,Small,Self-employed,Data/AI,Bachelors,35-44
Slovakia,38285,20,Senior,7,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Masters,25-34 
India,23201,7,Mid,8,Hybrid-InPerson,Manufacturing,10000+,Large,Employed,Data/AI,Masters,25-34 
Malaysia,11027,5,Mid,9,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Israel,56475,6,Mid,8,In-person,Software Development,<20,Small,Employed,Developer,Some college,25-34 
Poland,54580,19,Senior,7,Remote,Government,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
India,8137,6,Mid,6,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,74878,14,Mid,3,Flexible,Other,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,213000,30,Senior,7,Remote,Other,100 - 499,Medium,Employed,Developer,Masters,35-44
Bulgaria,177920,20,Senior,8,Remote,Software Development,5000 - 9999,Large,Employed,Architect,Bachelors,35-44
Bulgaria,5990,20,Senior,7,Flexible,Fintech,1000 - 4999,Medium,Employed,Developer,Masters,35-44
United States of America,105000,12,Mid,7,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Developer,Masters,35-44
Denmark,10109,6,Mid,8,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Secondary school ,18-24
United States of America,55000,8,Mid,5,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
France,35500,8,Mid,7,Hybrid-InPerson,Higher Education,100 - 499,Medium,Employed,Developer,Associate,25-34 
United Kingdom of Great Britain and Northern Ireland,114359,22,Senior,8,Remote,Other,100 - 499,Medium,Employed,Developer,Bachelors,35-44
France,75410,6,Mid,10,Hybrid-InPerson,Computer System Services,10000+,Large,Employed,Other,Masters,18-24
Germany,6265,22,Senior,5,Hybrid-Flexible,Media Services,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
India,8137,5,Mid,5,In-person,Insurance,5000 - 9999,Large,Employed,Developer,Bachelors,18-24
Netherlands,127616,10,Mid,8,In-person,Fintech,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
Greece,34804,13,Mid,8,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
France,52207,6,Mid,7,Hybrid-Flexible,Banking Services,1000 - 4999,Medium,Student,Data/AI,Masters,18-24
India,5812,4,Mid,8,In-person,Software Development,20 - 99 ,Small,Employed,Data/AI,Other,18-24
Italy,42925,14,Mid,7,In-person,Manufacturing,1000 - 4999,Medium,Employed,Cybersecurity ,Some college,25-34 
Czech Republic,4306,8,Mid,9,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Masters,25-34 
United States of America,132000,40,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,55-64
Poland,100000,15,Mid,7,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Masters,25-34 
France,46406,8,Mid,5,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Spain,87011,40,Senior,4,Remote,Other,<20,Small,Employed,Other,Secondary school ,45-54 
Italy,46406,20,Senior,8,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Some college,45-54 
United Kingdom of Great Britain and Northern Ireland,102106,45,Senior,10,Hybrid-Flexible,Retail Services,5000 - 9999,Large,Employed,Developer,Some college,55-64
Ireland,104413,20,Senior,6,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,125250,20,Senior,7,Hybrid-Flexible,Computer System Services,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,210000,22,Senior,6,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,140000,8,Mid,10,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,165000,11,Mid,7,Remote,Other,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
United States of America,44000,5,Mid,8,In-person,Healthcare,<20,Small,Employed,Research,Bachelors,18-24
